0	0	1
0	81	0
1	3	1
1	216	0
2	2	1
2	77	0
3	1	1
3	425	0
4	2	1
4	166	0
5	1	1
5	244	0
6	2	1
6	55	0
7	3	1
7	312	0
8	1	1
8	297	0
9	3	1
9	840	0
10	2	1
10	763	0
11	0	1
11	165	0
12	1	1
12	339	0
13	2	1
13	708	0
14	4	1
14	343	0
15	4	1
15	475	0
16	2	1
16	544	0
17	3	1
17	289	0
18	2	1
18	656	0
19	1	1
19	149	0
20	1	1
20	170	0
21	1	1
21	342	0
22	0	1
22	477	0
23	5	1
23	187	0
24	3	1
24	792	0
25	1	1
25	210	0
26	0	1
26	579	0
27	3	1
27	334	0
28	6	1
28	363	0
29	1	1
29	718	0
30	1	1
30	261	0
31	2	1
31	852	0
32	0	1
32	418	0
33	1	1
33	218	0
34	7	1
34	255	0
35	7	1
35	628	0
36	7	1
36	166	0
37	2	1
37	21	0
38	8	1
38	502	0
39	1	1
39	383	0
40	0	1
40	343	0
41	0	1
41	189	0
42	0	1
42	807	0
43	3	1
43	339	0
44	7	1
44	121	0
45	1	1
45	137	0
46	7	1
46	644	0
47	1	1
47	313	0
48	1	1
48	319	0
49	3	1
49	370	0
50	1	1
50	643	0
51	6	1
51	538	0
52	0	1
52	806	0
53	3	1
53	652	0
54	1	1
54	498	0
55	0	1
55	377	0
56	0	1
56	664	0
57	1	1
57	703	0
58	7	1
58	145	0
59	1	1
59	709	0
60	0	1
60	531	0
61	1	1
61	487	0
62	1	1
62	483	0
63	1	1
63	789	0
64	1	1
64	818	0
65	1	1
65	568	0
66	3	1
66	398	0
67	0	1
67	593	0
68	0	1
68	141	0
69	1	1
69	133	0
70	0	1
70	779	0
71	1	1
71	753	0
72	1	1
72	262	0
73	1	1
73	553	0
74	1	1
74	690	0
75	1	1
75	417	0
76	1	1
76	231	0
77	0	1
77	48	0
78	0	1
78	676	0
79	1	1
79	294	0
80	1	1
80	306	0
81	1	1
81	677	0
82	0	1
82	553	0
83	1	1
83	548	0
84	1	1
84	710	0
85	1	1
85	290	0
86	3	1
86	779	0
87	3	1
87	197	0
88	0	1
88	736	0
89	0	1
89	317	0
90	1	1
90	654	0
91	0	1
91	93	0
92	1	1
92	601	0
93	1	1
93	135	0
94	6	1
94	675	0
95	6	1
95	173	0
96	0	1
96	695	0
97	3	1
97	292	0
98	1	1
98	496	0
99	3	1
99	499	0
100	1	1
100	617	0
101	0	1
101	289	0
102	0	1
102	530	0
103	0	1
103	173	0
104	0	1
104	37	0
105	0	1
