userId,movieId,rating,timestamp
0,1,5,1112486027
0,5,1,1112484676
0,7,1,1112484819
0,6,1,1112484727
0,9,1,1112484580
0,3,1,1094785740
0,8,1,1094785734
0,4,1,1112485573
0,2,1,1112484940
1,4,5,1112484826
1,5,1,1112484703
1,1,1,1112484767
1,7,1,1112484798
1,6,1,1094785709
1,9,1,1112485980
1,3,1,1112484603
1,8,1,1112485557
1,2,1,1112484661
2,3,5,1094785691
2,5,1,1094785621
2,1,1,1094785598
2,7,1,1112486013
2,6,1,1112485480
2,9,1,1094785665
2,8,1,1112485375
2,4,1,1112484669
2,2,1,1112485453
3,2,5,1112485701
3,5,1,1112484609
3,1,1,1112484690
3,7,1,1112484742
3,6,1,1112484624
3,9,1,1112484560
3,3,1,1112484642
3,8,1,1112484815
3,4,1,1094785977
4,3,5,1094786082
4,5,1,1112484810
4,1,1,1094785994
4,7,1,1112484637
4,6,1,1112485401
4,9,1,1112485567
4,8,1,1094785759
4,4,1,1112485382
4,2,1,1094785994
5,2,5,1112485440
5,5,1,1094786113
5,1,1,1112484735
5,7,1,1112485371
5,6,1,1094785986
5,9,1,1112485525
5,3,1,1094785720
5,8,1,1094786062
5,4,1,1112484990
6,3,5,1094786056
6,5,1,1094786158
6,1,1,1112485419
6,7,1,1094785764
6,6,1,1094785746
6,9,1,1112484913
6,8,1,1112486150
6,4,1,1094785656
6,2,1,1112486201
7,4,5,1112486032
7,5,1,1112486098
7,1,1,1112485739
7,7,1,1094786087
7,6,1,1094786034
7,9,1,1112485929
7,3,1,1112485955
7,8,1,1094786092
7,2,1,1112485789
8,2,5,1112485705
8,5,1,1112485951
8,1,1,1112485887
8,7,1,1112485843
8,6,1,1112485753
8,9,1,1112485486
8,3,1,1112486122
8,8,1,1094786077
8,4,1,1094785777
9,4,5,1112485447
9,5,1,1112485988
9,1,1,1112484994
9,7,1,1094786017
9,6,1,1094786148
9,9,1,1094785650
9,3,1,1112484749
9,8,1,1094786012
9,2,1,1112484759
10,3,5,1112485367
10,5,1,1112485414
10,1,1,1112485697
10,7,1,1112485465
10,6,1,1112485433
10,9,1,1112485580
10,8,1,1094785698
10,4,1,1112485825
